variavel,valor_shap,impacto_absoluto
umidade_relativa,0.3190534421014116,0.3190534421014116
focos_calor_7d,0.21245219129428652,0.21245219129428652
ndvi,-0.0829368101200636,0.0829368101200636
temperatura_media,0.08270452148326211,0.08270452148326211
precipitacao_mm,0.040813991135158864,0.040813991135158864
historico_incendios,0.03489757704077613,0.03489757704077613
mes,0.024699470873046442,0.024699470873046442
dias_sem_chuva,-0.019942634210543,0.019942634210543
velocidade_vento,-0.014759002418331488,0.014759002418331488
distancia_foco_km,0.011639353683485898,0.011639353683485898
latitude,0.011033605342994718,0.011033605342994718
estado=SP,0.009763510534228526,0.009763510534228526
estado=RO,0.0056588003991088764,0.0056588003991088764
bioma=Caatinga,0.004685231956809255,0.004685231956809255
longitude,0.002721440483378079,0.002721440483378079
bioma=Pampa,0.002060421230262191,0.002060421230262191
bioma=Cerrado,0.0018338119691624771,0.0018338119691624771
estado=MS,0.001265075032670232,0.001265075032670232
bioma=Mata Atlântica,-0.00046335758265193816,0.00046335758265193816
estado=BA,0.0004558765424229061,0.0004558765424229061
estado=AM,-0.0003488477911219867,0.0003488477911219867
estado=PI,-0.0002664270032594618,0.0002664270032594618
estado=MG,-0.00024021761760603666,0.00024021761760603666
estado=PE,0.00020039584478355466,0.00020039584478355466
estado=TO,6.74465548096137e-05,6.74465548096137e-05
bioma=Pantanal,3.455531786969446e-05,3.455531786969446e-05
estado=PA,3.277838164890412e-05,3.277838164890412e-05
bioma=Amazônia,-1.1910290094049869e-05,1.1910290094049869e-05
estado=RS,-8.0265183755035e-06,8.0265183755035e-06
estado=CE,7.265971885203615e-06,7.265971885203615e-06
estado=MA,-5.482577228876906e-07,5.482577228876906e-07
estado=PR,4.1354139487803643e-07,4.1354139487803643e-07
estado=MT,0.0,0.0
estado=GO,0.0,0.0
estado=SC,0.0,0.0
estado=RJ,0.0,0.0
